IMDb_ID,Title,Directors,Cast,Year,Rating,Genre,Top 250 Rank,Runtimes
14544192,Inside,Bo Burnham;,Bo Burnham;,2021,8.7,Comedy;Drama;Music;Reality-TV,,87.0
3553976,Captain Fantastic,Matt Ross;,Viggo Mortensen;George MacKay;Samantha Isler;Annalise Basso;Nicholas Hamilton;Shree Crooks;Charlie Shotwell;Trin Miller;Kathryn Hahn;Steve Zahn;Elijah Stevenson;Teddy Van Ee;Erin Moriarty;Missi Pyle;Frank Langella;Ann Dowd;Galen Osier;Hannah Horton;Rex Young;Thomas Brophy;Mike Miller;Greg Crooks;Louis Hobson;Hafid Abdelmoula;Paul Alan Amend;Ben Andrews;Heidi Barrientes;Richard Beal;Matt Harrison;Gail Harvey;Shannon Henderson Herrera;Alan Humphrey;Elizabeth M. Kallman;Jameson Macmillan;Rahnae Magallanez;Trish Main;Jose B. Martinez;Justin D. Moore;Jyl Murray;Rodney Nagel;Ryan Baloy Rivera;Joseph P. Santillanes;Clarence Searles;Audrey Seda;Carrie Sleeper-Bowers;Amy Emily Stack;Elena Stecca;Michael E. Stogner;Ed Stone;Richard Daniel Williams;,2016,7.9,Comedy;Drama,,118.0
11768948,If Anything Happens I Love You,Michael Govier;Will McCormack;,,2020,7.8,Animation;Short;Drama,,13.0
13517462,The Banana Splits: Sloppy Nights,Chris Soames;,Ross K. Foad;Misty Starling;,2020,8.2,Comedy;Horror,,
11000894,Ben Platt Live from Radio City Music Hall,Alex Timbers;Sam Wrench;,Ben Platt;Crystal Monee Hall;Kojo Littles;Allen René Louis;Zoey Deutch;Anna Kendrick;Dylan O'Brien;Brittany Snow;Ryan Murphy;Beanie Feldstein;Lucy Boynton;Richard E. Grant;Billy Eichner;Blake Jenner;Judith Light;Kathryn Gallagher;Michael Park;Julia Schlaepfer;Benjamin Barrett;Ben Richardson;Marc Platt;Julie Platt;Henry Platt;Hannah Platt;Samantha Auerbach;Avery Rosin;Matthew Krauss;Michael A. Auerbach;Liz Caplan;Benj Pasek;Justin Paul;Steven Levenson;Asher Fogle Paul;Kathy Searle;Trevor Eason;Trey Eason;Ryan J. Haddad;Max Sheldon;Bobby Conte Thornton;Max Hechtman;Meryl Hechtman;Kyle Krieger;Elizabeth Lail;Andrew Barth Feldman;Alex Timbers;Nic Rouleau;Luke Islam;Tyler Stanaland;Michael Goddard;Natalie Margolin;Sidi Larbi Cherkaoui;Tony Marion;Javier Morgado;Jason Trojanowski;Kei Tsuruharatani;Anthony Raimondi;Corey Hummerston;Sophie Beren;Melanie Borinstein;Rachel Marley;Ilana Glazer;Sharon Feldstein;Bonnie-Chance Roberts;Anna Romanoff;Charlie Volkman;Daniel Koenig;Hannah Vail;Dori Haller;Carlos E. Lopez-Alvarez;Sarah Kimmerling;Sarah Elizabeth Bergin;Jared Bates;Gigi Shapiro-Kulick;Jonathan Carmel;Adam Mersel;Joe Machota;Miyen Rose Chang;Justin Cole Adams;Gaby Alezard;Jonathan Aronoff;Eddie Arriola;Caitlin Ashley;Catie Auran;Michalene Baines;Esti Bello;John Bello;Brooke Bennish;Will Berman;Anna Biel;Emma Borden;Hope Bourne;Sheryl Spivack Braun;Chrissy Broussard;Travis Brown;Tyler Brown;Mark Caffrey;Vanessa Bennish Chapman;Stephanie Chappell;Caroline Chastain;Trevor Chauvin;Emily Chen;Laura Chierchia;Liz Clutterbuck;Fidel Conejero;Alexa Cottrell;Daniel Cuevas;Matthew Dant;Andrew Dean;Kelliann DeCarlo;Ashley Delosh;Jeff Doll;Aziliz Dubois;Tamara Eggert;Aidan Erbter;Bruno Ernesto;Brett Essenter;Brandon Ferretti;Steven Ford;Amanda Garza;Jesse Gephart;Jaci Gisondi;Alyssa Greenberg;Jordan Griebner;Madeline Hamada;Jessie Hamm;Robin Hissink;Shane Hoffman;Jason Daniel Hood;Marge Hudson;Dani Jesch;Lindsay Jones;Molly Kendall;Lindsey King;Rowena Klein;Theo Lencicki;Jacob Lesko;Christopher Long;Lauren Elisabeth Loyd;Bridget Lynn;Burgundy MacLeod;Katrina Maddela;Callaen Malpas;Kyle Logan Manning;Bo Martin;Hunter Mayfield IV;Brian McCafferty;Morgan McCormick;Kyla McGovern;Elvan McMillen;Jeffrey Newman;Maggie Paul;Brian Ponce;Adam Pravda;Carolyn Pravda;Maddy Pravda;Katie Richard;Sabrina Rosa;Erica I. Russell;Keliah Schertz;Tom Schmidt;Tim Schraeder;Lily Schwartz;Valerie Schwartz;Olivia Sibley;Tim Silver;Maddi Sloan;Avery Smith;Jessie Smith;Mike Sol;Ron Solis;Maddy Stillman;Stephen Szczerba;Emily Teubner;Gage Thomas;Lisa Dawn Thompson;Schuyler Todd Thornton;Lauren Tijerina;Greg van Bergen;Heather Van Velsor;Zach Viney;Courtney Walker;Lucas Walkowski;Daniel Weiss;Julia Weiss;Nora Weiss;Jenny Beaudry Westin;Julie Wilkerson;Brooke Francia Wool;Carmen Zheng;Paul Zheng;Joshua Zonenashvili;,2020,8.4,Music,,85.0
5649144,The Florida Project,Sean Baker;,Brooklynn Prince;Christopher Rivera;Aiden Malik;Josie Olivo;Valeria Cotto;Edward Pagan;Bria Vinaite;Patti Wiley;Jasineia Ramos;Willem Dafoe;Rosa Medina Perez;Mela Murder;Krystal Nicole Watts;Bronwyn Valley;Kelly Fitzgerald;Sandy Kane;Jim R. Coleman;Andrew Romano;Carolina Grabova;Terry Allen Jones;Karren Karagulian;Sabina Friedman-Seitz;Caleb Landry Jones;Troy Kohlmaier;Ginger Cook;Shih-Ching Tsou;Marisol Rivera;Carl Bradfield;Joop Katana;Giovanni Rodriguez;Angel Garcia;Latanya Ortiz;Sonya McCarter;John Sutton;Adina Sutton;Betty Jeune;Shail Kamini Ramcharan;Kit Sullivan;Macon Blair;Joanne Moreno;Jason Blackwater;Lauren O'Quinn;Hannah Peterson;Cecilia Quinan;Gary B. Gross;Samantha Parisi;,2017,7.6,Drama,,111.0
1302006,The Irishman,Martin Scorsese;,Robert De Niro;Al Pacino;Joe Pesci;Harvey Keitel;Ray Romano;Bobby Cannavale;Anna Paquin;Stephen Graham;Stephanie Kurtzuba;Jack Huston;Kathrine Narducci;Jesse Plemons;Domenick Lombardozzi;Paul Herman;Gary Basaraba;Marin Ireland;Lucy Gallina;Jonathan Morris;Dascha Polanco;Welker White;Louis Cancelmi;Bo Dietl;Sebastian Maniscalco;Aleksa Palladino;Steven Van Zandt;Jim Norton;Daniel Jenkins;Billy Smith;Kevin O'Rourke;Action Bronson;Glenn Cunningham;Paul Ben-Victor;Patrick Gallo;James Martin;Jake Hoffman;Barry Primus;Danny A. Abeckaser;Anthony J. Gallo;J.C. MacKenzie;Joseph Bono;Larry Romano;Louis Vanaria;Craig Vincent;John Polce;Joseph Riccobene;Vinny Vella;Thomas E. Sullivan;John Cenatiempo;Robert Mladinich;Rich Reilly;Robert Funaro;Tess Price;Jennifer Mudge;India Ennenga;Jordyn DiNatale;Kate Arrington;John Bernard Martin;Philip Suriano;Tony Suriano;Jason Iannacone;Michael C. Brennan;James P. Harkins;Al Linea;Garry Pastore;Frank Pietrangolare;Frank Aquilino;John T. Sollitto;Patrick Murney;Samantha Soule;Richard V. Licata;Vito Picone;Larry Mazza;Craig DiFrancia;Ira Drukier;Jon Bruno;Paul Borghese;Steven Maglio;James Licata;Veronica Alicino;Mike Massimino;James Ciccone;Ron Castellano;Marco Greco;Meghan Rafferty;Aldo Sergi;James Lorinz;Jeffrey Paul;Robert C. Kirk;Vince Maritato;Lawrence Smith;Rebecca Faulkenberry;Ken Wulf Clark;John Rue;Steve Routman;Fernando Vera;Peter Claymore;Charles DelGatto;Michael Gongora;Eugene Bunge;Matthew F. O'Connor;Cliff Moylan;Vincenzo DelRiccio;Steve Beauchamp;Alfred Sauchelli Jr.;Joe Giorgio;Diana Agostini;Lauren Aparicio;Kelley Rae O'Donnell;John Garrett Greer;Jack Caruso;John Scurti;Tom Tj Jenkins;Steve Witting;Luke Smith;Brent Langdon;James D. Forsha;Giacomino J. Matra;Paul Pearlman;Frank L. Messina;Cilda Shaur;Dominick LaRuffa Jr.;Erick Zamora;Steven Maglio;Joe Caniano;Lou Martini Jr.;Michael Bottari;John Bianco;Margaret Anne Florence;Siena Marino;Lori Arkin;Nicholas Chrysan;Samantha Coppola;Logan Crawford;Jeff DeHart;Mark Fairchild;Blaise Corrigan;Jill Brown;Tim Neff;Matt Walton;Peter Jay Fernandez;Stephen Mailer;Gino Cafarelli;Robin Kerbis;Lucia Giannetta;Michael Romeo Ruocco;Amanda Kloots;Anne Horak;Brittany Bigelow;Vanessa Mitchell;Madison Eastman;Purdie Baumann;Jesse Wildman;Nina Lafarga;Neil Posner;Michael Leviton;Bridget Barkan;Andrea Weinzierl;Richard V. Pagano;Nicholas Wight;Clark Carmichael;Joseph Russo;Jeremy Luke;Barbara Eyland;Tracy J. Everitt;Saint Marino;Mario Corry;Johnny Potenza;Joe Passaro;Patrick Borriello;Alfred Nittoli;David Aaron Baker;Stanley Burns;Bill Timoney;Thomas Joseph McDonald;Virl Andrick;Ernest Sanders;Bill McHugh;Kevin Kane;Amelia Brain;Craig Castaldo;Norman Aaronson;Martin Abrahams;Jayden Abrams;Harry Adam;Frank Amoruso;Chris Angerman;CJ Annunziata;John Antorino;Anthony Aquilino;Anthony Arcure;Sal Ardisi;Robert Arensen;Ross Avant;Marshall Axt;Stefanie Barbato;John V. Barbieri;Sidnei Barboza;Lou Barletta;Dannah Basgall;Joe Basile;Reginald Baskerville;Tommy Bayiokos;Thomas Bencivenga;Keith Betts;Joseph K. Bevilacqua;Richard Bird;Peter Biscontini;Frank Bliss;Rick Bolander;Matteo Borgomanero;David Boston;Ralph Bracco;Theresa Brancato;Roger Brenner;Marko Caka;Johnny Calabro;David Francis Calderazzo;Michele Cannon;Emilie Cantante;Anthony Patrick Capuano;Al Cardone;Patrick Carone;Kenneth Carrella;Dj Nino Carta;John Cashin;Fidel Castro;Giovanni Celentano;Liz Celeste;James Cesa;Israel Chaplin;Julie Chateauvert;Dean Ciallella;John Cimillo;Joseph Ciminera;Gregory Cioffi;Stacey Alyse Cohen;Sean Collins;Jim Coniglione;Charlie Conn;Richard R. Corapi;Vincent Cucuzza;Michael Cullum;Mick Cunningham;Anthony Edward Curry;Catherine Czaja;Gino D'Cafango;Erin Dahl;Carole DellAquila;Jack Delyra;Diane DeSalvo-Beebe;Lee DiFilippo;Samuel Difiore;Mike DiGiacinto;Scottie DiGiacomo;Dante DiGiorgio;John DiGiorgio;Jerry DiLeo;Ernest DiLullo Sr.;Dom DiMercurio;Michael DiMonte;Salvatore DiSanto;Tommy Dodd;Gino Domenico;Jewel Donohue;Scott Eliasoph;Robert Eric;Daniel Evangelista;Phil Faicco;Danitra Faithe;Mark Falvo;Doug Ferony;Kat Michelle Files;Ilir Fiora;Frenchi Firecracker;Brooke Flaherty;Patrick H. Fox;Robert J. Fox;Dav Freedman;Mark C. Fullhardt;Mark A. Gamma;Ineke Garbacz;Steve Garfanti;Alan Gates;Christopher G Gates;Sholom Gelt;Rich Gentilcore;Frank Gigante;Christy 'Unpazzo' Giglio;Brian Gildea;George R. Golden;Albert Gomez;George Goulart;Kathryn Grace;Michael Grandinetti;Michael Wren Gucciardo;Ron Guercio;Darryl Reuben Hall;Paige Hamdi;Steve Heinz;Joshua Daniel Hershfield;Toree Hill;Arthur Hiou;Jacqueline Honulik;Matthew Iacono;Michael Iacono;Ciarcia John;Andrew Kady;Serhat Kaner;George Katt;Jennifer Keane;Kennan Keating;Ren Kelly;Jacqueline Kennedy;John F. Kennedy;Albert Kobrovsky;Melody Krell;Paul Kulis;Jarrod LaBine;Billy Lake;Claudette Lalí;Michael Lanuto;Zeke Ledesma;Zachary Leipert;Gina Lerario;Anthony Linzalone;Frank Lisi;Jerry Lobrow;Rob Louis;RJ Lucci;Ann Lucente;Ronald Scott Maestri;Michael Maffucci;Ronnie Magri;Victoria Mahal-Sky;Dennis Mallen;Dominick Mancino;Aly Mang;Scott Manginelli;Michael Mariano;Allie Marshall;Rich Masotti;Randy Masters;Jamie Mattus;Michael Maugeri;Gage Maynard;Soren Aleksi Mazurek;Laura Mazziotti;Doris McCarthy;Kerry McGann;Kevin D. McGee;Michael A McGrath;Tommy McInnis;Gary McNerney;Rebecca Merle;John Merolla;Carol Ann Meyer;Frances Mignano;John Mingione;Sheryl Minikes;Danny Minnick;Daniel Mintz;John Mitchell;Frank Modica;Mark Montalbano;Jeff Moore;Michael Morana;James Morricone;Stephen Moscatello;Christopher Moser;Ariella Mossey;Josh Mowery;Chuck Muldoon;Peter Munda;Robert Reed Murphy;Kevin D. Murray;Chris Naples;Ruben Navarro;Krenar Ndreu;David Negri;Kevin Nelson;Lenny Nelson;Arielle Nickerson;Ashley North;Joseph Oliveira;And Palladino;Loukas Papas;Rosario Parisi;Anthony Pasqua;Joe Penczak;Raffaello Perfetto;Katrina E. Perkins;Rich Petrillo;Sharon Pfeiffer;Leroy Phillips Jr.;Adam Piacente;Kinga Piersiak;Franco Porporino;Bill Porter;Vinnie Potestivo;Sean Prasso;Peter Presta;Marc Prizov;Lorna Pruce;Franco Quartuccio;Peter Quinones;Philip Radiotes;Jamie Ragusa;Jon Douglas Rainey;DJ Renegade;Tom Rhoads;Jerry Riccardelli;Christopher D Richert;Sal Rinella;Vincent Riviezzo;Natasha Romanova;Shade Rupe;Andrea Ryan;Rock Ryan;Joseph Gerard Sabatino;Yana Samarska;Dario Saraceno;Sacco Sarkis;Adrienne Scalo;Mike Scerbo;Eric Schuster;Robert Sciglimpaglia;Jonathan Scinto;Maria Sciorillo;Peter Anthony Seay;Harry L. Seddon;Chelsea Sheets;Andrea Shiffman;Robert Shulman;John Signorile;Jack Silver;Marisa R. Silver;Kent Sladyk;Erika Smith;Nadia Sobehart;Johnny Speciale;Jai Stefan;Frank Stellato;Joe Stolzer;David Strauss;Mike Struck;Peter Sweet;Pearl Thomas;Jonathan Tierney;Tisha Tinsman;Robert Toms;Justin Triest;Vincent Tumeo;Sal Tumino;Rob Tunstall;Lynne Valley;Jessica VanOss;Joseph Velez;Giuseppe Virzi;Amory Walsh;Lilyana Weaver;Thomas D. Weaver;Bryan Webster;Anthony Welch;Jake Wells;David Wenzel;Kelly P. Williams;Geoff Wingham;Carole Wood;Renee Wood;McManus Woodend;Alonzo Wright;Evan Zebooker;Ian Zelbo;Leonard Zimmerman;Alex Ziwak;,2019,7.8,Biography;Crime;Drama,,209.0
11163014,Mike Birbiglia: The New One,Seth Barrish;,Mike Birbiglia;,2019,7.7,Comedy,,85.0
10810424,Dave Chappelle: Sticks & Stones,Stan Lathan;,Dave Chappelle;,2019,8.5,Comedy,,65.0
10484298,Oprah Winfrey Presents: When They See Us Now,Mark Ritchie;,Asante Blackk;Ava DuVernay;Caleel Harris;Ethan Herisse;Joshua Jackson;Jharrel Jerome;Antron McCray;Freddy Miyares;Niecy Nash;Kevin Richardson;Yusef Salaam;Raymond Santana;Michael Kenneth Williams;Oprah Winfrey;Korey Wise;,2019,7.8,Talk-Show,,61.0
